L,backend,avg_ms,peak_mem_MB
512,custom_cuda,2.9452287673950197,0.5
512,flash,0.10156160593032837,0.5
512,math,0.2162559986114502,11.8759765625
1024,custom_cuda,11.279756927490235,9.125
1024,flash,0.20561280250549316,9.125
1024,math,0.5447167873382568,22.12646484375
1536,custom_cuda,22.56444091796875,9.625
1536,flash,0.30248959064483644,9.625
1536,math,1.1024383544921874,39.501953125
2048,custom_cuda,36.05478515625,10.125
2048,flash,0.43201918601989747,10.125
2048,math,1.9031808853149415,62.12744140625
